City,Country,Business services 2011 (%),Employment rate 2011 (%),GVA 2011 (Â£ billion),GVA per worker 2011 (Â£),High skilled population 2011 (%),Low skilled population 2011 (%),"Manufacturing, mining and utilities 2011 (%)",Medium skilled population 2011 (%),Other private services 2011 (%),Other sectors 2011 (%),Patent applications to the EPO 2011 (per 100K of population),Population 2011,Public services 2011 (%),Total jobs 2011,Unemployment rate 2011 (%)
Valencia,Spain,25.02,59.62,16.82,51400.00,43.55,33.78,3.19,22.60,34.93,7.71,3.10,792054.00,29.15,327400.00,21.39
Valenciennes,France,14.63,58.49,4.18,51900.00,24.39,23.89,20.40,50.16,24.76,4.87,5.68,191606.00,35.35,80600.00,18.76
Valladolid,Spain,19.60,61.92,6.54,49800.00,40.23,37.75,14.81,21.75,32.01,7.47,2.67,311682.00,26.11,131200.00,16.84
Vannes,France,15.55,68.66,2.90,46800.00,35.37,15.11,8.88,48.23,30.66,9.40,4.29,132680.00,35.51,62000.00,11.71
Varna,Bulgaria,15.55,66.27,3.74,24900.00,39.74,9.42,13.76,50.04,46.52,10.26,0.62,334486.00,13.91,150200.00,11.71
Venice,Italy,19.16,72.14,8.30,59300.00,21.42,32.95,10.55,39.94,46.16,5.39,6.39,270884.00,2.00,140000.00,6.92
Verona,Italy,24.60,72.75,8.31,64400.00,22.48,28.55,10.56,42.57,40.78,5.96,10.70,263964.00,3.07,129100.00,6.74
Versailles,France,24.26,75.76,5.16,64900.00,56.79,10.78,7.55,30.07,25.58,4.14,36.32,181861.00,38.47,79500.00,7.61
Vigo,Spain,20.56,57.82,5.78,48700.00,37.28,40.05,16.69,22.57,36.08,7.64,1.64,295623.00,19.02,118800.00,22.69
Vilnius,Lithuania,22.21,75.69,11.22,43800.00,56.14,2.41,11.08,43.67,34.07,6.89,1.30,536127.00,24.43,256300.00,10.49
Vitoria-Gasteiz,Spain,13.06,65.29,6.65,57300.00,43.13,36.34,19.04,20.23,23.29,6.93,6.81,240753.00,37.67,116100.00,10.86
Wakefield,United Kingdom,15.80,70.87,5.79,41700.00,22.32,40.46,12.69,31.97,37.91,5.30,2.12,325837.00,28.29,138900.00,10.12
