City,Country,Business services 2011 (%),Employment rate 2011 (%),GVA 2011 (Â£ billion),GVA per worker 2011 (Â£),High skilled population 2011 (%),Low skilled population 2011 (%),"Manufacturing, mining and utilities 2011 (%)",Medium skilled population 2011 (%),Other private services 2011 (%),Other sectors 2011 (%),Patent applications to the EPO 2011 (per 100K of population),Population 2011,Public services 2011 (%),Total jobs 2011,Unemployment rate 2011 (%)
Exeter,United Kingdom,23.85,74.76,3.69,43900.00,37.07,27.79,6.56,30.32,29.88,4.04,3.17,117773.00,35.67,84100.00,3.31
Ferrara,Italy,19.17,76.10,3.36,63400.00,25.32,28.07,14.11,42.89,38.85,5.68,19.66,135369.00,3.59,53000.00,7.04
Florence,Italy,24.54,75.57,13.31,65000.00,29.28,26.59,9.82,38.99,39.25,4.44,12.95,371282.00,3.61,204800.00,6.81
Foggia,Italy,18.52,59.61,2.37,51200.00,17.55,40.01,12.12,39.31,32.48,7.70,0.94,152747.00,3.24,46300.00,16.39
Frankfurt,Germany,43.01,70.60,44.40,70700.00,39.73,15.84,6.16,43.92,30.32,2.85,43.91,679664.00,17.64,628000.00,6.18
Freiburg im Breisgau,Germany,19.51,64.46,7.14,47700.00,40.92,10.56,8.75,41.38,30.86,2.94,39.05,224191.00,38.01,149700.00,5.60
Fuenlabrada,Spain,13.97,62.48,3.12,61300.00,19.08,58.90,21.97,22.01,41.23,10.20,2.72,196986.00,12.64,50900.00,21.78
Gdansk,Poland,22.20,58.99,6.69,45900.00,6.12,33.36,17.30,53.94,25.26,7.15,1.73,460517.00,28.10,145700.00,5.23
Gelsenkirchen,Germany,21.05,65.65,5.79,55200.00,13.95,28.40,16.95,57.88,28.86,6.10,6.34,257981.00,27.05,105000.00,11.57
Geneva,Switzerland,36.02,67.16,18.43,68700.00,38.53,23.04,7.19,26.68,27.66,4.99,24.74,349052.00,24.15,268200.00,10.04
Genoa,Italy,25.64,72.08,16.75,63600.00,20.91,30.23,11.51,43.45,39.25,5.86,9.10,607906.00,2.86,263100.00,7.92
Getafe,Spain,16.60,62.86,4.00,59600.00,30.02,44.00,16.92,25.74,42.01,7.14,4.07,168642.00,17.32,67100.00,19.43
Ghent,Belgium,21.13,67.05,10.14,62500.00,38.32,24.86,16.46,25.35,21.25,3.78,35.03,248358.00,37.38,162200.00,7.01
Gijón,Spain,16.13,54.88,4.11,52500.00,37.89,37.94,19.60,24.02,40.46,10.21,1.18,276969.00,13.60,78200.00,21.06
Glasgow,United Kingdom,28.92,67.08,21.84,42700.00,33.07,44.43,7.32,22.51,29.39,4.88,3.99,963753.00,29.50,511200.00,10.27
Gloucester,United Kingdom,21.91,76.34,2.97,47000.00,27.28,32.68,9.87,34.60,28.23,4.13,9.57,121688.00,35.85,63100.00,8.24
Granada,Spain,21.72,54.38,4.30,50400.00,51.60,29.87,4.51,18.27,37.20,10.69,1.48,241003.00,25.88,85400.00,25.07
Grenoble,France,23.22,68.23,11.76,55600.00,42.06,16.12,13.34,37.53,25.13,5.76,80.16,402326.00,32.55,211600.00,12.09
Groningen,Netherlands,28.29,74.44,10.47,80000.00,52.89,14.97,6.50,27.94,19.57,3.03,8.91,189991.00,42.61,130900.00,7.14
Göteborg,Sweden,24.61,70.59,16.96,54900.00,40.70,12.04,14.14,42.95,27.12,5.16,31.72,520374.00,28.44,308900.00,9.28
Gyõr,Hungary,14.21,67.65,1.95,34100.00,28.66,10.61,26.47,60.72,31.00,6.86,0.69,129527.00,21.46,57100.00,5.70
Haarlem,Netherlands,24.83,79.05,3.39,50300.00,40.74,20.95,8.16,38.41,29.90,2.31,7.47,150670.00,34.80,67300.00,3.61
Haarlemmermeer,Netherlands,26.64,79.31,9.49,67000.00,28.49,24.77,8.37,42.12,49.09,3.54,18.64,143374.00,12.35,141700.00,3.80
Hagen,Germany,16.97,74.51,4.48,48500.00,19.91,22.77,19.14,53.70,31.89,4.32,13.44,188529.00,27.68,92500.00,8.44
Halle an der Saale,Germany,26.13,70.28,4.54,37900.00,33.74,7.05,5.68,58.26,28.46,5.18,10.71,232963.00,34.56,119800.00,10.70
Hamburg,Germany,31.09,76.23,74.21,67100.00,31.71,14.91,10.56,52.45,33.08,3.86,23.98,1786448.00,21.41,1105500.00,5.49
Hamm,Germany,16.49,68.71,3.55,48400.00,11.74,23.07,15.80,61.35,33.38,6.40,4.13,181783.00,27.79,73400.00,8.12
Hannover,Germany,30.63,71.21,20.82,55600.00,35.80,15.50,12.11,49.80,23.82,2.67,63.23,522686.00,30.77,374100.00,9.17
Heidelberg,Germany,23.11,60.16,5.41,49800.00,49.06,9.70,11.14,36.94,22.56,2.49,81.91,147312.00,40.70,108600.00,4.75
Herne,Germany,19.63,64.11,2.62,44000.00,13.88,24.31,17.62,61.28,27.01,8.89,5.94,164762.00,26.85,59600.00,10.45
Huddersfield,United Kingdom,14.94,70.34,6.40,41400.00,29.19,34.32,17.93,31.08,33.97,5.14,3.33,422458.00,28.01,154600.00,8.75
Huelva,Spain,19.50,51.28,2.44,56200.00,34.09,45.27,7.31,20.38,37.14,12.17,0.00,147808.00,23.88,43400.00,30.40
Hull,United Kingdom,17.83,65.64,4.70,40800.00,18.61,42.56,16.01,32.06,30.82,4.73,9.08,256406.00,30.61,115200.00,14.06
Ingolstadt,Germany,20.28,81.86,9.49,89500.00,31.07,15.68,39.53,52.35,19.34,3.21,73.49,125088.00,17.64,106000.00,3.39
Ipswich,United Kingdom,23.58,75.17,2.99,44200.00,25.57,35.99,6.14,31.64,32.67,4.19,5.31,133384.00,33.43,67700.00,7.88
Irakleio,Greece,16.32,57.79,2.37,41000.00,31.15,28.40,8.82,38.99,38.81,7.33,2.06,151324.00,28.71,57800.00,19.12
Jerez de la Frontera,Spain,29.00,50.57,3.11,57500.00,31.51,49.85,8.25,18.52,37.18,13.76,0.12,211784.00,11.82,54100.00,30.26
Jönköping,Sweden,14.85,77.87,3.16,46700.00,33.06,13.12,13.59,50.13,27.86,7.50,21.94,128305.00,35.30,67600.00,6.23
Karlsruhe,Germany,28.95,72.83,12.53,56900.00,37.98,15.14,11.95,45.31,26.14,3.59,43.49,294761.00,29.41,220000.00,5.28
Kassel,Germany,21.91,70.40,6.40,46800.00,34.94,17.14,12.42,51.81,30.68,3.80,24.27,195530.00,31.19,136900.00,8.04
Kaunas,Lithuania,13.08,72.66,4.66,34400.00,49.89,3.14,18.16,45.54,34.01,7.07,0.30,317319.00,26.37,135300.00,10.65
Kiel,Germany,23.33,70.16,7.24,47400.00,30.37,13.45,10.16,56.98,27.59,3.01,18.40,239526.00,35.85,152600.00,9.42
Kielce,Poland,12.53,52.88,2.04,27700.00,5.50,37.74,21.03,50.24,24.91,9.41,0.66,201815.00,32.13,73600.00,12.21
Klaipeda,Lithuania,12.51,72.28,2.66,37600.00,43.20,2.70,17.31,54.09,37.34,7.99,0.93,162898.00,23.38,70800.00,13.07
Krakow,Poland,23.51,59.60,11.14,38700.00,4.31,39.29,15.06,49.44,25.97,8.13,3.62,759137.00,27.32,287500.00,5.53
Krefeld,Germany,19.75,68.36,5.97,54300.00,25.78,20.77,22.93,53.76,29.30,5.28,23.63,235076.00,22.66,109900.00,8.66
La Rochelle,France,18.32,64.02,3.58,48900.00,32.73,18.15,11.30,47.05,28.64,7.93,2.88,147747.00,33.81,73200.00,14.03
Larisa,Greece,12.61,54.81,1.85,35200.00,34.13,24.17,10.88,40.04,33.20,7.89,0.00,146926.00,35.42,52600.00,18.26
Las Palmas,Spain,19.65,52.44,7.25,52300.00,33.48,43.89,5.24,22.41,40.46,8.76,0.55,381271.00,25.88,138700.00,29.57
Lausanne,Switzerland,33.57,74.16,9.16,59400.00,41.92,25.06,4.81,31.03,25.20,4.96,71.21,215621.00,31.47,154300.00,7.89
Lübeck,Germany,23.55,73.50,5.11,43600.00,28.55,15.63,13.65,56.75,29.01,5.20,15.03,210232.00,28.67,117200.00,9.40
Lódz,Poland,21.58,57.06,6.58,29200.00,9.52,28.24,22.87,59.46,23.80,3.77,1.24,725055.00,27.98,225600.00,11.20
Le Havre,France,15.84,63.09,5.53,53400.00,24.18,23.21,14.74,50.79,31.05,6.60,11.19,238171.00,31.77,103600.00,16.87
Le Mans,France,20.82,65.08,5.46,53200.00,30.08,20.79,12.29,47.26,27.93,5.80,10.95,183750.00,33.15,102700.00,15.81
Leeds,United Kingdom,32.54,71.15,18.94,46600.00,34.00,32.05,8.85,28.92,28.41,4.70,5.05,751485.00,25.49,406700.00,8.65
Leganés,Spain,17.42,60.88,3.92,61300.00,27.21,49.62,11.59,22.94,48.66,7.91,3.62,185758.00,14.41,64000.00,21.08
Leicester,United Kingdom,19.48,69.88,9.36,41400.00,27.61,36.88,14.57,26.19,29.30,4.06,5.15,479924.00,32.59,226400.00,10.98
Leipzig,Germany,35.92,70.51,12.10,42000.00,37.88,5.31,8.81,55.91,26.18,5.17,9.40,522883.00,23.93,288400.00,11.81
León,Spain,24.32,60.58,3.07,54400.00,40.17,34.78,4.53,24.88,31.93,7.36,0.31,131411.00,31.86,56400.00,14.44
Lens - Liévin,France,16.08,57.09,3.48,47900.00,17.33,27.94,11.40,54.16,25.90,9.40,1.98,243907.00,37.24,72800.00,20.34
Leverkusen,Germany,22.84,76.15,5.47,70600.00,18.18,26.04,23.87,57.60,28.13,4.77,51.26,160772.00,20.39,77500.00,6.25
Liège,Belgium,17.73,53.34,8.88,56300.00,24.59,35.29,11.92,29.54,25.39,4.42,9.37,377263.00,40.54,157600.00,14.76
Lille,France,22.67,64.78,26.19,52000.00,34.80,22.03,9.27,40.47,28.40,5.90,6.12,1113813.00,33.76,503900.00,15.67
Limoges,France,14.72,65.48,4.82,48300.00,33.13,19.09,10.38,44.51,29.33,6.50,9.62,199125.00,39.07,99700.00,13.49
Linköping,Sweden,21.78,70.81,3.69,49700.00,41.88,10.34,13.94,43.70,20.45,7.48,40.07,147334.00,35.42,74300.00,8.78
Liverpool,United Kingdom,23.27,63.74,12.82,44200.00,26.40,39.88,7.38,29.42,29.43,3.75,4.72,612308.00,36.17,290300.00,11.42
Livorno,Italy,20.18,72.54,3.07,57700.00,17.43,36.50,12.31,41.57,42.94,6.25,7.79,161131.00,2.55,53300.00,11.00
Lleida,Spain,18.41,68.08,3.17,56100.00,34.24,43.88,8.84,21.72,36.54,10.61,1.48,137283.00,25.61,56500.00,13.68
Logroño,Spain,17.71,63.13,3.07,53200.00,37.60,38.71,11.85,23.55,32.37,9.18,1.16,152698.00,28.90,57600.00,16.91
London,United Kingdom,40.22,71.38,343.53,68900.00,43.44,24.44,3.27,21.81,30.73,3.47,7.76,9350226.00,22.30,4986300.00,9.26
Lorient,France,14.99,65.74,3.59,46600.00,27.93,17.57,14.18,53.02,26.47,8.95,3.78,186150.00,35.41,77000.00,12.59
Lublin,Poland,16.67,53.82,3.19,27800.00,4.68,38.07,13.98,49.53,24.36,7.49,0.76,348567.00,37.50,114800.00,10.55
Lucerne,Switzerland,24.43,80.57,5.85,51700.00,32.92,18.05,9.50,47.55,31.57,7.51,37.60,152408.00,26.99,113300.00,4.07
Ludwigshafen am Rhein,Germany,19.27,69.93,9.56,84500.00,19.94,28.51,38.90,53.57,17.95,4.95,60.88,164351.00,18.92,113100.00,8.75
Luton,United Kingdom,28.40,68.59,4.24,49200.00,26.65,34.54,10.80,27.06,30.99,4.08,1.39,203201.00,25.73,86200.00,8.48
Lyon,France,25.42,68.93,41.03,60700.00,41.11,16.97,12.25,38.52,27.67,5.76,26.17,1307101.00,28.90,675500.00,12.87
Madrid,Spain,36.95,66.28,115.56,59100.00,48.58,27.96,3.91,23.33,30.80,9.26,6.20,3198645.00,19.07,1956200.00,15.85
Magdeburg,Germany,28.90,73.15,5.28,39900.00,31.23,7.35,8.40,64.86,25.26,6.20,5.17,231525.00,31.24,132200.00,10.56
Mainz,Germany,28.71,72.32,7.88,55400.00,37.65,16.17,7.53,44.10,28.15,3.03,33.35,199237.00,32.58,142100.00,5.46
Malmö,Sweden,25.61,61.86,7.93,50100.00,38.10,13.26,8.26,42.39,29.13,6.54,48.04,302835.00,28.82,158300.00,14.33
Manchester,United Kingdom,27.05,68.70,46.89,43600.00,30.67,33.92,10.48,29.76,30.80,4.68,4.84,2364679.00,26.99,1076100.00,9.84
Mannheim,Germany,28.05,69.57,12.64,57900.00,29.68,21.28,19.29,45.69,27.41,5.27,54.09,313174.00,19.98,218200.00,5.98
Mansfield,United Kingdom,12.68,67.79,3.49,41800.00,19.30,40.38,16.50,35.33,31.96,9.03,3.33,223963.00,29.84,83500.00,11.58
Marbella,Spain,21.90,55.32,2.47,47900.00,26.43,47.88,2.63,25.66,50.72,12.94,0.75,135124.00,11.80,51500.00,29.25
Marseille,France,20.06,61.40,22.97,56600.00,32.10,22.41,8.46,42.78,28.65,6.03,11.35,1042873.00,36.81,405800.00,16.67
Messina,Italy,15.44,66.15,3.24,49900.00,21.30,40.23,6.18,38.50,36.75,4.91,0.52,242503.00,5.50,65000.00,23.67
Metz,France,18.01,66.65,5.64,48700.00,34.62,18.11,8.27,44.60,27.23,6.82,10.60,218431.00,39.68,115900.00,13.41
Middlesbrough,United Kingdom,18.47,65.52,7.80,43300.00,24.82,35.82,10.42,35.03,30.09,7.13,5.46,465199.00,33.89,180200.00,12.26
Milan,Italy,31.83,71.72,117.93,70400.00,0.00,0.00,16.04,0.00,35.99,5.12,12.59,3188206.00,2.96,1674900.00,6.97
Milton Keynes,United Kingdom,31.36,77.07,8.95,61700.00,33.36,29.19,7.47,30.72,37.80,2.52,3.70,248821.00,20.85,145200.00,6.26
Miskolc,Hungary,14.85,59.13,1.82,29000.00,26.37,12.68,19.45,60.95,29.66,7.41,2.02,167754.00,28.62,62900.00,15.20
Málaga,Spain,24.68,52.53,10.11,49200.00,32.52,46.63,6.10,20.68,37.63,8.99,0.74,561435.00,22.61,205600.00,31.43
Mülheim a.d.Ruhr,Germany,20.26,73.11,4.04,53400.00,27.08,18.88,20.26,60.56,34.17,6.89,55.07,167344.00,18.41,75500.00,6.74
Mönchengladbach,Germany,22.77,71.51,5.56,47200.00,20.51,20.87,16.06,57.20,31.27,5.78,10.56,257993.00,24.13,117700.00,9.08
Münster,Germany,27.59,75.37,11.60,57800.00,41.81,9.51,7.87,48.73,26.99,4.03,23.55,279803.00,33.57,200800.00,4.59
Modena,Italy,22.15,77.75,7.00,69600.00,24.22,29.91,19.68,40.98,34.95,5.22,23.42,184663.00,3.30,100600.00,7.48
Montpellier,France,24.21,61.88,11.14,54400.00,41.77,16.09,6.24,37.54,26.32,7.29,11.50,427532.00,35.93,204800.00,16.58
Móstoles,Spain,15.07,61.46,2.45,57500.00,24.42,50.49,14.47,25.08,37.47,10.19,2.07,203493.00,22.80,42600.00,20.15
Mulhouse,France,16.63,64.05,5.38,50700.00,25.49,22.36,16.83,50.48,29.33,6.92,18.40,251896.00,30.29,106200.00,16.89
Munich,Germany,37.38,75.71,66.82,71000.00,44.65,12.88,11.85,43.77,24.75,2.76,60.89,1353186.00,23.24,940600.00,4.86
Murcia,Spain,19.91,60.83,7.08,47500.00,33.91,44.48,9.82,21.46,36.18,11.68,1.11,437667.00,22.42,149000.00,23.36
Nancy,France,19.58,63.01,7.19,52400.00,39.14,16.60,7.60,39.75,26.14,5.57,8.78,256224.00,41.10,137200.00,14.89
Nantes,France,26.02,69.64,17.00,52900.00,41.19,13.42,9.50,42.60,27.85,6.21,8.47,593983.00,30.42,321200.00,11.89
Naples,Italy,17.27,42.27,29.91,41800.00,0.00,0.00,14.38,0.00,35.68,7.19,0.69,3124315.00,4.52,715200.00,27.07
Newcastle,United Kingdom,22.18,67.37,16.30,42500.00,29.94,34.27,8.43,31.62,30.34,5.12,6.39,829319.00,33.93,383300.00,11.19
Newport,United Kingdom,17.96,68.95,4.79,44000.00,27.48,36.64,17.06,31.32,27.75,3.85,7.98,236811.00,33.37,108900.00,10.59
Nice,France,20.57,67.52,11.86,57500.00,33.32,19.90,6.12,44.32,32.70,8.20,17.22,522008.00,32.41,206400.00,12.71
Nijmegen,Netherlands,21.30,73.87,5.00,49700.00,51.17,22.25,9.05,26.70,20.01,2.54,16.21,164223.00,47.10,100600.00,5.62
Nîmes,France,15.66,61.82,4.73,48700.00,29.05,23.01,6.37,46.09,29.62,10.59,7.99,237203.00,37.76,97100.00,17.97
Northampton,United Kingdom,28.63,76.45,5.60,42600.00,28.94,32.51,8.75,30.77,32.17,4.01,5.58,212069.00,26.44,131500.00,7.60
Norwich,United Kingdom,27.12,76.25,5.96,45600.00,31.88,31.18,8.31,32.23,33.79,5.20,8.45,257158.00,25.58,130600.00,6.09
Nottingham,United Kingdom,25.84,67.92,12.74,41900.00,29.83,34.28,9.15,30.46,30.32,4.91,12.90,640791.00,29.79,303800.00,10.60
Nuremberg,Germany,32.42,74.31,18.61,51700.00,26.97,21.19,15.26,53.24,28.08,3.89,37.09,505664.00,20.35,359700.00,7.41
Oberhausen,Germany,23.85,70.36,4.12,47500.00,14.16,21.63,15.32,61.53,31.34,8.87,16.83,212945.00,20.74,86800.00,9.46
Odense,Denmark,18.33,68.05,4.76,47900.00,35.44,20.58,7.04,39.96,29.39,6.74,15.72,190245.00,38.51,99300.00,5.82
Oldenburg,Germany,26.69,73.66,4.82,46600.00,33.51,12.66,6.67,52.29,31.43,4.16,17.49,162173.00,31.04,103400.00,7.05
Olsztyn,Poland,17.84,56.02,1.88,30100.00,5.92,34.99,18.87,50.16,24.74,6.21,0.32,175420.00,32.34,62400.00,7.80
Orléans,France,23.32,69.94,7.78,53500.00,35.32,19.21,11.03,43.38,25.85,6.98,10.39,273877.00,32.82,145300.00,11.95
Osnabrück,Germany,23.46,70.23,5.30,46000.00,31.66,13.65,12.86,51.42,32.49,4.26,29.41,164119.00,26.93,115100.00,6.79
Oviedo,Spain,19.37,60.49,4.98,49000.00,43.53,31.69,5.31,24.66,29.17,6.79,1.77,225005.00,39.36,101500.00,14.31
Oxford,United Kingdom,20.19,78.01,5.53,50600.00,55.15,20.11,4.52,17.17,23.62,2.21,50.64,151906.00,49.47,109300.00,4.71
Padua,Italy,27.91,74.45,8.77,67600.00,32.46,23.74,8.70,37.98,37.62,3.40,18.00,214198.00,3.56,129800.00,7.34
Palermo,Italy,18.11,64.98,10.63,53600.00,18.61,46.49,7.15,36.72,35.59,4.14,0.23,655875.00,5.59,198500.00,25.02
Palma de Mallorca,Spain,22.33,58.12,8.90,57100.00,30.79,42.54,4.85,26.43,39.60,9.72,0.83,402044.00,23.50,155800.00,26.74
Pamplona,Spain,18.07,65.59,4.29,53000.00,46.93,31.06,7.86,21.74,30.06,6.19,6.20,195943.00,37.82,80900.00,13.15
Paris,France,34.86,71.44,305.54,80400.00,46.25,17.69,6.65,32.14,28.52,4.62,25.58,6695406.00,25.36,3800700.00,12.82
Parma,Italy,22.67,74.94,6.22,62300.00,25.86,26.65,18.52,39.37,35.60,6.07,24.97,186690.00,2.97,99900.00,5.59
Pau,France,20.32,66.34,3.99,53400.00,37.18,14.72,8.16,45.42,27.22,6.42,12.97,146975.00,37.87,74700.00,12.70
Pécs,Hungary,16.38,59.97,1.72,28600.00,30.09,12.00,15.29,57.90,31.58,7.26,1.56,156049.00,29.50,60100.00,13.01
Perpignan,France,15.45,59.34,4.86,49400.00,26.70,23.05,6.37,48.46,31.53,10.63,3.97,255509.00,36.02,98300.00,17.96
Perugia,Italy,18.07,74.94,4.20,56000.00,26.74,28.32,12.78,39.58,35.79,6.85,5.60,168169.00,2.85,75000.00,9.78
Peterborough,United Kingdom,28.73,72.44,4.48,46100.00,24.40,35.05,10.66,30.50,32.61,3.37,6.25,183631.00,24.64,97200.00,9.26
Plovdiv,Bulgaria,10.41,65.94,3.28,20600.00,36.75,12.25,25.66,49.33,37.81,8.42,0.31,338062.00,17.70,159000.00,10.37
Plymouth,United Kingdom,16.84,72.29,4.57,42900.00,26.92,31.76,12.35,36.96,32.63,3.75,1.36,256384.00,34.42,106500.00,6.84
Poitiers,France,18.73,64.04,3.89,47600.00,39.28,15.84,7.24,40.04,26.06,6.25,10.35,135432.00,41.72,81700.00,13.72
Portsmouth,United Kingdom,20.87,78.29,11.17,52500.00,30.27,30.62,12.16,34.76,32.70,4.68,12.74,519943.00,29.60,212900.00,6.36
Potsdam,Germany,36.31,78.69,4.55,41100.00,45.31,6.75,2.80,50.82,25.56,3.25,16.49,156906.00,31.98,110700.00,6.32
Poznan,Poland,24.58,62.89,10.90,47300.00,4.89,37.33,17.33,53.73,26.08,5.64,1.13,553564.00,26.36,230200.00,4.30
Prato,Italy,16.97,78.09,5.07,60500.00,12.64,47.38,30.92,37.36,33.68,6.53,2.58,188011.00,2.15,83900.00,10.11
Preston,United Kingdom,20.51,75.08,7.36,39800.00,32.08,30.29,9.18,33.06,28.28,10.11,6.07,356414.00,31.93,184900.00,7.64
Pátra,Greece,14.51,49.40,2.25,39900.00,30.04,26.59,9.47,41.53,37.03,7.21,1.49,170896.00,31.78,56400.00,21.87
Radom,Poland,9.37,48.71,2.00,38600.00,8.90,28.10,25.35,57.48,24.42,6.69,1.47,220602.00,34.17,51900.00,20.83
Ravenna,Italy,18.39,75.00,4.08,64900.00,17.28,32.88,17.49,44.86,39.57,9.42,9.22,158739.00,2.62,62900.00,6.44
Reading,United Kingdom,38.71,77.80,10.60,63600.00,45.48,22.44,6.11,26.06,29.18,2.96,21.45,310078.00,23.05,166500.00,5.22
Ãârebro,Sweden,16.48,73.80,3.42,48500.00,34.91,12.42,9.83,49.06,26.70,8.29,8.39,137121.00,38.16,70500.00,10.08
Regensburg,Germany,20.30,77.04,8.59,62300.00,40.38,9.71,22.99,49.19,25.38,3.12,83.80,135520.00,28.21,137900.00,4.38
Reggio di Calabria,Italy,16.49,63.70,2.56,57200.00,22.66,29.02,7.17,44.53,40.84,5.83,0.26,186547.00,4.53,44800.00,22.36
Reggio nell'Emilia,Italy,20.69,77.07,5.79,66800.00,18.67,33.58,20.48,41.17,36.97,7.54,19.34,170086.00,2.06,86700.00,9.38
Reims,France,19.09,64.04,5.65,53800.00,31.93,22.75,11.24,41.72,28.52,6.99,8.43,208144.00,34.16,105200.00,15.44
Rennes,France,24.23,68.29,12.10,51900.00,42.51,13.55,9.65,40.06,27.14,6.46,35.32,402331.00,32.53,232900.00,11.22
Ãâ¦rhus,Denmark,23.55,70.30,9.00,49400.00,45.41,14.85,7.04,35.63,29.67,4.74,38.34,310956.00,35.01,182200.00,3.84
Rimini,Italy,21.44,74.13,4.12,65500.00,20.81,31.11,9.18,43.79,46.20,7.54,8.35,143321.00,3.30,62900.00,8.32
Rome,Italy,31.07,72.19,85.15,67500.00,27.12,24.02,6.01,43.96,37.21,5.33,4.65,2761477.00,3.74,1261600.00,9.49
Rostock,Germany,24.51,72.46,4.70,45700.00,35.98,5.65,9.92,61.13,29.67,3.60,8.84,202735.00,32.20,102800.00,10.42
Rotterdam,Netherlands,25.76,70.44,31.80,60600.00,28.89,32.90,8.36,35.31,29.55,5.27,9.55,971178.00,31.07,524700.00,6.85
Rouen,France,18.65,65.79,12.05,52800.00,29.34,22.26,12.95,45.68,27.72,7.33,11.91,487136.00,33.35,228000.00,14.71
Ruse,Bulgaria,7.74,66.33,1.30,20000.00,30.94,12.07,36.38,56.50,34.05,6.88,0.00,149750.00,14.94,65100.00,11.17
Rzeszów,Poland,15.77,51.27,2.72,33500.00,3.79,38.85,20.62,48.30,24.60,9.27,0.67,180031.00,29.74,81300.00,11.05
s-Hertogenbosch,Netherlands,30.97,75.00,5.32,52500.00,38.48,24.83,6.94,34.76,27.52,4.86,17.22,140786.00,29.70,101300.00,4.00
Saarbrücken,Germany,26.14,64.65,7.29,50900.00,28.19,18.63,15.16,54.05,27.04,3.14,20.44,175741.00,28.44,143100.00,10.48
Saint-Etienne,France,17.11,64.38,7.82,51000.00,26.80,20.89,15.74,50.06,25.19,7.83,12.63,372730.00,34.13,153400.00,14.85
Saint-Quentin en Yvelines,France,29.69,75.08,6.71,70700.00,42.72,17.45,22.00,37.85,22.40,7.16,60.42,144408.00,18.75,94900.00,10.06
Salamanca,Spain,16.58,60.51,2.55,48200.00,41.55,37.45,3.75,20.69,34.98,9.24,0.64,151658.00,35.44,52800.00,19.23
Salerno,Italy,20.84,63.90,2.66,52700.00,31.40,23.77,9.23,39.89,37.24,3.93,1.90,139019.00,4.36,50500.00,17.58
San Cristóbal de la Laguna,Spain,15.61,57.78,2.23,50000.00,36.56,41.33,4.89,22.06,45.24,8.19,0.57,152025.00,26.07,44600.00,26.48
San Sebastián,Spain,27.95,66.65,4.87,59700.00,51.99,26.12,5.17,21.57,33.66,8.00,9.37,185512.00,25.23,81600.00,10.73
Santa Cruz de Tenerife,Spain,17.24,60.38,4.91,50000.00,35.56,40.96,4.51,23.38,32.13,6.74,0.93,204476.00,39.37,98200.00,26.19
